"balise","direction","station","track","type","train_direction"
11133,2,Leppävaara,4,ARRIVAL,2
11631,2,Leppävaara,4,DEPARTURE,2
11627,1,Leppävaara,4,DEPARTURE,2
11144,1,Leppävaara,4,DEPARTURE,2
11408,2,Louhela,1,ARRIVAL,1
11308,2,Louhela,1,ARRIVAL,1
11437,1,Louhela,1,DEPARTURE,1
11313,1,Louhela,1,DEPARTURE,1
11437,2,Louhela,1,ARRIVAL,2
11313,2,Louhela,1,ARRIVAL,2
11408,1,Louhela,1,DEPARTURE,2
11308,1,Louhela,1,DEPARTURE,2
11430,2,Louhela,2,ARRIVAL,1
11310,2,Louhela,2,ARRIVAL,1
11417,1,Louhela,2,DEPARTURE,1
11315,1,Louhela,2,DEPARTURE,1
11417,2,Louhela,2,ARRIVAL,2
11315,2,Louhela,2,ARRIVAL,2
11430,1,Louhela,2,DEPARTURE,2
11310,1,Louhela,2,DEPARTURE,2
13112,2,Malmi,3,ARRIVAL,1
13726,2,Malmi,3,ARRIVAL,1
13735,1,Malmi,3,DEPARTURE,1
13121,1,Malmi,3,DEPARTURE,1
13735,2,Malmi,3,ARRIVAL,2
13121,2,Malmi,3,ARRIVAL,2
13112,1,Malmi,3,DEPARTURE,2
13726,1,Malmi,3,DEPARTURE,2
13806,2,Malmi,4,ARRIVAL,1
13728,2,Malmi,4,ARRIVAL,1
13737,1,Malmi,4,DEPARTURE,1
13123,1,Malmi,4,DEPARTURE,1
13737,2,Malmi,4,ARRIVAL,2
13123,2,Malmi,4,ARRIVAL,2
13806,1,Malmi,4,DEPARTURE,2
13728,1,Malmi,4,DEPARTURE,2
11605,1,Malminkartano,1,ARRIVAL,1
11400,2,Malminkartano,1,ARRIVAL,1
11429,1,Malminkartano,1,DEPARTURE,1
11304,2,Malminkartano,1,DEPARTURE,1
11305,1,Malminkartano,1,DEPARTURE,1
11429,2,Malminkartano,1,ARRIVAL,2
11304,1,Malminkartano,1,ARRIVAL,2
11305,2,Malminkartano,1,ARRIVAL,2
11605,2,Malminkartano,1,DEPARTURE,2
11400,1,Malminkartano,1,DEPARTURE,2
11402,2,Malminkartano,2,ARRIVAL,1
11607,1,Malminkartano,2,ARRIVAL,1
